Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_298_1553,VGND,li1,722.6600,821.4400,0.000000
FILLER_298_1541,VGND,li1,717.1400,821.4400,0.000000
FILLER_298_1539,VGND,li1,713.6900,821.4400,0.000000
FILLER_298_1533,VGND,li1,712.0800,821.4400,0.000000
FILLER_298_1521,VGND,li1,707.9400,821.4400,0.000000
FILLER_298_1509,VGND,li1,702.4200,821.4400,0.000000
FILLER_298_1497,VGND,li1,696.9000,821.4400,0.000000
FILLER_298_1485,VGND,li1,691.3800,821.4400,0.000000
FILLER_298_1483,VGND,li1,687.9300,821.4400,0.000000
FILLER_298_1477,VGND,li1,686.3200,821.4400,0.000000
FILLER_298_1465,VGND,li1,682.1800,821.4400,0.000000
FILLER_298_1453,VGND,li1,676.6600,821.4400,0.000000
FILLER_298_1441,VGND,li1,671.1400,821.4400,0.000000
FILLER_298_1429,VGND,li1,665.6200,821.4400,0.000000
FILLER_298_1427,VGND,li1,662.1700,821.4400,0.000000
FILLER_298_1421,VGND,li1,660.5600,821.4400,0.000000
FILLER_298_1409,VGND,li1,656.4200,821.4400,0.000000
FILLER_298_1397,VGND,li1,650.9000,821.4400,0.000000
FILLER_298_1385,VGND,li1,645.3800,821.4400,0.000000
FILLER_298_1373,VGND,li1,639.8600,821.4400,0.000000
FILLER_298_1371,VGND,li1,636.4100,821.4400,0.000000
FILLER_298_1365,VGND,li1,634.8000,821.4400,0.000000
FILLER_298_1353,VGND,li1,630.6600,821.4400,0.000000
FILLER_298_1341,VGND,li1,625.1400,821.4400,0.000000
FILLER_298_1329,VGND,li1,619.6200,821.4400,0.000000
FILLER_298_1317,VGND,li1,614.1000,821.4400,0.000000
FILLER_298_1315,VGND,li1,610.6500,821.4400,0.000000
FILLER_298_1309,VGND,li1,609.0400,821.4400,0.000000
FILLER_298_1297,VGND,li1,604.9000,821.4400,0.000000
FILLER_298_1285,VGND,li1,599.3800,821.4400,0.000000
FILLER_298_1273,VGND,li1,593.8600,821.4400,0.000000
FILLER_298_1261,VGND,li1,588.3400,821.4400,0.000000
FILLER_298_1259,VGND,li1,584.8900,821.4400,0.000000
FILLER_298_1253,VGND,li1,583.2800,821.4400,0.000000
FILLER_298_1241,VGND,li1,579.1400,821.4400,0.000000
FILLER_298_1229,VGND,li1,573.6200,821.4400,0.000000
